id,state,3/23/20,3/20/20,3/17/20
1,Alabama,138.0,83,39
2,Alaska,21.0,12,3
4,Arizona,152.0,78,20
5,Arkansas,165.0,96,22
6,California,1642.0,1177,698
8,Colorado,476.0,363,160
9,Connecticut,223.0,194,68
10,Delaware,47.0,38,16
12,Florida,830.0,563,216
13,Georgia,600.0,420,146
15,Hawaii,48.0,26,10
16,Idaho,42.0,23,8
17,Illinois,1049.0,585,161
18,Indiana,201.0,86,30
19,Iowa,90.0,45,23
20,Kansas,64.0,44,18
21,Kentucky,99.0,47,26
22,Louisiana,837.0,538,196
23,Maine,89.0,56,32
24,Maryland,244.0,149,60
25,Massachusetts,646.0,413,218
26,Michigan,1037.0,552,65
27,Minnesota,169.0,115,60
28,Mississippi,207.0,80,21
29,Missouri,100.0,53,11
30,Montana,31.0,15,9
31,Nebraska,51.0,37,21
32,Nevada,190.0,114,56
33,New Hampshire,65.0,44,26
34,New Jersey,1914.0,890,267
35,New Mexico,57.0,43,23
36,New York,15793.0,8310,1706
37,North Carolina,302.0,172,64
38,North Dakota,28.0,19,3
39,Ohio,355.0,173,67
40,Oklahoma,67.0,49,19
41,Oregon,161.0,114,66
42,Pennsylvania,509.0,303,112
44,Rhode Island,83.0,54,23
45,South Carolina,196.0,126,47
46,South Dakota,21.0,14,11
47,Tennessee,505.0,233,74
48,Texas,627.0,394,110
49,Utah,181.0,78,51
50,Vermont,52.0,29,12
51,Virginia,221.0,122,67
53,Washington,1996.0,1524,1076
54,West Virginia,12.0,7,1
55,Wisconsin,381.0,207,72
56,Wyoming,24.0,19,11
